m,n,instance_number,primal_infeasibility,time_full
100,100,1,1.2569561042936536e-05,0.315864086151123
100,100,2,7.273262326808194e-06,0.4265000820159912
100,100,3,1.1295889259162542e-05,0.4276010990142822
100,100,4,1.365597797590122e-05,0.4525308609008789
100,100,5,5.337688930826673e-06,0.3997421264648437
100,100,6,8.726969195297501e-06,0.4169321060180664
100,100,7,1.108025895823518e-05,0.3989019393920898
100,100,8,1.264305054415188e-05,0.3217339515686035
100,100,9,8.410597539146997e-06,0.3909518718719482
100,100,10,1.2323201834424022e-05,0.3568899631500244
300,300,1,1.466813687342472e-05,5.180747985839844
300,300,2,1.648378481967352e-05,4.824082136154175
300,300,3,1.2985889050190751e-05,5.902405023574829
300,300,4,1.4715055250499268e-05,5.514535903930664
300,300,5,1.5968778761441937e-05,4.653312921524048
300,300,6,2.1623064322305423e-05,5.352612018585205
300,300,7,1.602984020136972e-05,5.339686870574951
300,300,8,1.571750516559875e-05,7.393167018890381
300,300,9,1.4528242282131188e-05,5.4732887744903564
300,300,10,2.0459056131412037e-05,5.863564014434815
1000,1000,1,1.1419469439220929e-05,239.80416584014893
1000,1000,2,0.0001426596290639,293.12652611732483
1000,1000,3,9.169282435505384e-06,208.6619110107422
1000,1000,4,1.3023668052792583e-05,403.72943902015686
1000,1000,5,2.029939286772261e-05,533.7203109264374
1000,1000,6,7.794945123401576e-05,401.1304590702057
1000,1000,7,3.097324992507912e-05,286.09221386909485
1000,1000,8,7.901925083302465e-05,389.7820549011231
1000,1000,9,0.0001225373791787,313.8870429992676
1000,1000,10,1.645708683209392e-05,330.2650558948517
