m,n,instance_number,primal_infeasibility,time_full,gap
100,100,1,1.2569561042936536e-05,0.333353042602539,0.1933561268776853
100,100,2,7.273262326808194e-06,0.4347720146179199,0.5306707257335825
100,100,3,1.1295889259162542e-05,0.4400970935821533,0.1581027205685133
100,100,4,1.365597797590122e-05,0.4672269821166992,0.1602926925579473
100,100,5,5.337688930826673e-06,0.414776086807251,0.2049492801839426
100,100,6,8.726969195297501e-06,0.4333078861236572,0.2112933305356935
100,100,7,1.108025895823518e-05,0.4096968173980713,0.3700964469235472
100,100,8,1.264305054415188e-05,0.3347141742706299,0.2080064552965612
100,100,9,8.410597539146997e-06,0.3968701362609863,0.1518292990149404
100,100,10,1.2323201834424022e-05,0.387880802154541,0.4464839148646587
300,300,1,1.466813687342472e-05,5.3447630405426025,0.4077964401218792
300,300,2,1.648378481967352e-05,4.905362129211426,0.5109625771140117
300,300,3,1.2985889050190751e-05,5.835669040679932,0.2850673056046148
300,300,4,2.5231086990812248e-05,5.230884075164795,0.276308521159392
300,300,5,1.5968778761441937e-05,4.882430076599121,0.4534976886208511
300,300,6,2.1623064322305423e-05,5.611491918563843,0.2364550264745653
300,300,7,1.602984020136972e-05,5.895186185836792,0.3424379476186715
300,300,8,1.571750516559875e-05,7.905193090438843,0.2352344351769922
300,300,9,1.4528242282131188e-05,5.515279054641724,0.4054155582169951
300,300,10,2.045905613141204e-05,5.9344470500946045,0.2101479923230469
1000,1000,1,1.6715098774358747e-05,265.70245599746704,0.7026494394469738
1000,1000,2,5.165939700454427e-05,277.27192902565,0.6223639563430526
1000,1000,3,1.0339430462177022e-05,235.2582581043244,0.3712231652253217
1000,1000,4,1.2117641113037298e-05,413.8739750385285,0.3798895678873249
1000,1000,5,0.0001479014431533,532.4489049911499,0.4672819032536485
1000,1000,6,0.0008758341787441,398.1554880142212,0.1703412465952284
1000,1000,7,4.248160588332455e-05,295.2588238716125,0.3891338873922783
1000,1000,8,0.001,336.4369468688965,0.3551459851293982
1000,1000,9,0.000167831796371,317.73230600357056,0.6091341060813884
1000,1000,10,3.0633222061467484e-05,334.4448039531708,0.6081285661099435
3000,3000,1,0.0003333333333333,7200.02729010582,0.0991084014036989
3000,3000,2,0.0001245809185913,7200.057523012161,0.0881168266391982
3000,3000,3,0.0003333333333333,7200.082298994064,0.2532419923035867
3000,3000,4,7.445096380697319e-05,7200.000429153442,0.0358512039033989
3000,3000,5,0.0003333333333333,7200.0053498744965,0.5263746360335526
3000,3000,6,0.0003333333333333,7200.041409015656,0.2485236644578483
3000,3000,7,0.0003692292442872,7200.016803026199,1.911054051271432
3000,3000,8,5.595655621860711e-05,7200.356802940369,1.2634997245274302
3000,3000,9,6.908768024125141e-05,7200.321229219437,0.8275057379356074
3000,3000,10,4.101587477813121e-05,7200.012305021286,0.6740743111926292
10000,10000,1,0.0001135696509553,7200.268190145493,0.1644469180148416
10000,10000,2,0.0001018887478591,7200.876806974411,0.5556508027757383
10000,10000,3,0.000112650818071,7200.914369106293,0.4398529744975649
10000,10000,4,0.0002263539739927,7200.134954929352,0.0628931552657714
10000,10000,5,0.0001738822591054,7200.49559211731,0.1693165296329377
10000,10000,6,0.0001,7200.152500867844,0.2615942467907265
10000,10000,7,0.0001749592218384,7200.6204578876495,0.2418808906943736
10000,10000,8,0.0001052279446071,7200.934905052185,0.1977274735989829
10000,10000,9,0.0001493378886425,7200.62912607193,0.7092960466371675
10000,10000,10,0.0001900860568196,7200.95560002327,0.7503903493234371
