m,n,instance_number,gap
10,10,1,0.0001840682842640872
10,10,2,0.0007933547607433193
10,10,3,0.0010003095273733373
10,10,4,0.0004156077354205659
10,10,5,0.0013302529957927116
10,10,6,0.004007402710398624
10,10,7,0.002400921567546756
10,10,8,0.0003067892340938668
10,10,9,0.000830744507183117
10,10,10,0.0028512823047805473
17,17,1,0.0007325459344868914
17,17,2,0.001740500088231269
17,17,3,0.0008805379371824974
17,17,4,0.001538976772045454
17,17,5,0.0021455732191916553
17,17,6,0.001047754134651817
17,17,7,0.0005373810080710706
17,17,8,0.0006516001452501213
17,17,9,0.001983327383721349
17,17,10,0.0019383814691236124
32,32,1,0.004809259995488437
32,32,2,1.6313333268640557e-05
32,32,3,0.018202982503954267
32,32,4,1.489123277402971e-05
32,32,5,0.001034212129944384
32,32,6,0.0012264396905532946
32,32,7,0.001064785704886449
32,32,8,0.006481817938115029
32,32,9,0.0011884007725220353
32,32,10,0.00033804452403743515
55,55,1,0.0739662969477372
55,55,2,0.07384372742675807
55,55,3,0.07761766375692569
55,55,4,0.010974715877774538
55,55,5,0.012294076695410255
55,55,6,0.07304154310598672
55,55,7,0.01186597286154128
55,55,8,0.037012971895235475
55,55,9,0.03112377850194089
55,55,10,0.2260301849726077
100,100,1,0.006947907319360461
100,100,2,0.7476214741842608
100,100,3,0.7994828394080905
100,100,4,0.7443153958488925
100,100,5,0.7046965683193565
100,100,6,0.8127364673595056
100,100,7,0.40939553903861164
100,100,8,0.836719080474001
100,100,9,0.2707833910213011
100,100,10,0.23677937274340022
